# Supplementary Table 7 of the Montoro et al paper
# (doi:10.1038/s41586-018-0393-7)
Maff,1110007C09Rik,Cyr61,Hdc
Cfl1,Ywhah,Ldha,Swi5
Tpm1,Chmp4b,Naca,BC051019
Ptma,Cdkn1a,Icam1,Odf3b
Dynll1,Ppap2c,Rpl29,Stmnd1
Elf3,Cldn4,Rpl23,Ccdc181
Actb,Gnb2,Rplp1,Hint1
Calm1,Kctd14,Marcksl1,Hsp90ab1
Hsp90aa1,Adss,Atf3,Crip1
Scgb3a2,Hebp2,Rps24,Eif1
Lmna,Foxq1,Dusp1,Fam92b
Hspb1,Vdac1,Jun,Chchd2
Hspa1a,Ptma,Rps15,Ctxn1
Sfn,Atp5j,Fos,Dnali1
Hspa8,Igfbp3,Rps11,Ift22
mt−Cytb,Ccdc12,H3f3b,Cmbl
Pfn1,Ctsc,Junb,Cfap20
Akr1a1,Pnrc1,Ubb,Ifi35
Pkm,Ctsh,Malat1,Atpif1
Ptms,Zfand5,F3,Csrp2
Perp,Ybx1,Tsc22d1,Gm166
Plin2,Prr13,Rps8,Dusp14
Jund,Lad1,Rpl32,Ift172
Tagln2,Gsn,Eef1a1,Bphl
Phlda1,Mrps6,Rpl8,4932443I19Rik
Serpinb5,Anxa8,Rpl13a,Ppil6
1810011O10Rik,Gabrp,Rps14,Trp53bp2
Anxa5,Atp6v0e,Rps9,Nudt4
Iffo2,Ube2d3,Rps3,1700007G11Rik
Porcn,Atp6v1f,Rps18,B9d1
Txn1,Srsf5,Rpl14,2610028H24Rik
Arpc3,Ppp2ca,Rps19,Lgals3
Rhoa,Ctsd,Rps5,Ccpg1os
Scgb1a1,Sfn,Rpl22,Sec14l3
Gipc1,Capza2,Hnrnpa2b1,Anxa2
Krt15,Samhd1,Abi3bp,Mrps17
Pmp22,Myl12b,Tsc22d3,Calml4
Rbm47,Bace2,Gltscr2,Cetn2
Anxa3,Arf6,Rsrp1,Arl3
Ppap2c,Atox1,Eif3h,Spef1
Sdcbp,Rbms1,Gpx1,Mt1
Chchd10,Pfdn1,Eif3k,Bok
Tspan8,Polr2f,Rps20,Ccdc78
Capg,Nupr1,Rps15a,Ruvbl2
Serpinb1a,Map1lc3a,Rplp2,H3f3b
Grpel2,Rbm39,Adh7,Fam213a
Prr15l,Selk,Rpl37,Shfm1
Muc1,Tspo,Eef1g,Enkur
Agr2,Tsc22d1,Slc25a5,Fam47e
Capsl,Avpi1,Rpl26,Cfap52
Akr1c18,Cyp2b10,Rpl37a,Pkig
Gsta4,Atpif1,Rps4x,Dpy30
Ier5,Hint1,Rps3a1,Cox4i1
Cyp2a5,Chchd10,Rpsa,6820408C15Rik
Alas1,Txn1,Id1,1700101E01Rik
Barx2,Cox6a1,Pfdn5,1700003M02Rik
Upk1b,Cnbp,Laptm4a,Tekt4
Lmo7,Minos1,Hpgd,Slc9a3r1
Ahnak2,Ifitm1,Gsta4,Dync2li1
Mall,Cox7a2,Ftl1,Fam166b
Aqp5,Chchd2,Atpif1,Lrrc48
Igfbp3,Rplp1,Gstm2,1700001L19Rik
Ffar4,H2−D1,Comt,Ppp1r36
Cmpk1,Atp5e,Sepw1,Dnajc15
S100a14,B3galt2,Sult1d1,4931406C07Rik
Cd24a,Ly6e,Ifitm1,Mycbp
S100a10,Cyp2f2,Rps16,Morn5
Slc16a11,Porcn,Rpl18a,Mcee
Cmas,F3,Bsg,Gm29538
Aldh1a1,Rpl41,S100a16,Ift57
Qsox1,Rpl37a,Cox4i1,Acot1
Ebp,Rps11,Tmem176b,Basp1
2200002D01Rik,Ffar4,Crlf1,Cib1
Pllp,Ndufa2,Oaz1,Ift27
Gabrp,Eef1a1,Rpl41,Ahsa1
Krt19,Tagln2,mt−Nd4,Cetn4
Tuba1a,Lrrc26,Rpl13,Anxa1
Foxq1,Ces1d,Itm2b,1700026D08Rik
Clic1,Rpl32,Gstm1,Spag6
Cldn7,Rpl37,Dapl1,Ak8
Mgst3,Mfge8,Gsta3,Slc25a17
Ly6a,Selenbp1,Cbr2,Iqcg
Ptgr1,Ltf,Prdx6,Sri
Cldn4,Tmem176b,Cyp2f2,Cfap45
AU040972,Wfdc2,Slc15a2,Nat9
St3gal4,Gstm1,Tst,Gtsf1l
Tspo,Ifitm3,Tspan1,1700028P14Rik
Ezr,Rps14,Wfdc2,Ccdc17
Clic3,Tmem176a,Cldn10,Dnaja4
Ndufa4,Fmo3,P2rx4,Myl12a
Ly6d,Rps3,Sftpd,Efcab10
Tacstd2,Ftl1,Slc16a11,Oscp1
Pdlim1,Tst,Cxcl17,Hist1h2bc
Pmm1,Prdx6,Tff2,Drc1
S100a11,Rpl23,Scgb3a2,Pebp1
Cyp2b10,Sftpd,Cd36,Rfk
Cxcl17,Ces1f,Chad,Cct7
Krt8,Cxcl17,Cyp4a12b,Plcb3
Cldn3,Lyz2,Lypd2,Zmynd10
Pglyrp1,Sult1d1,Aldh1a1,1700024G13Rik
Krt7,Slc15a2,Mgst1,Oaz2
Cav1,Msln,Hp,Krt8
Anxa2,Bpifa1,Pglyrp1,Acot13
Pdzk1ip1,Pigr,Msln,Tusc3
Ltf,Gadd45g,Agr2,Ywhae
Nupr1,Scgb3a1,Pon1,Dnaic2
Crip2,Scgb3a2,Ltf,Pih1d2
Gsto1,Reg3g,Lyz2,Ubxn11
Ecm1,Bpifb1,Nupr1,Supt20
S100a6,Pon1,AU021092,Paip2
Krt13,Trf,Sftpa1,Mns1
Krt4,Cyp4a12b,Cyp2a5,Znhit1
Upk3bl,Sftpa1,Muc5b,Ift74
Crip1,Chad,Reg3g,Syt5
Mal,Scgb1a1,Bpifa1,Cfap36
Anxa1,Muc5b,Bpifb1,Fam216a
Calml3,AU021092,Pigr,Med31
Tppp3,Tff2,Scgb1a1,Dcdc2b
Lgals3,Cldn10,Scgb3a1,Hsph1
